Row,SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
644,C22-C24,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",Industrial,Natural Gas,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2021,31/12/2021,477.33234
645,P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,151.587225
646,P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,40.945389
647,P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Natural Gas,Fossil Fuels,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,10.40379
648,P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,173.75031
649,P80,"Education and Training: Pre-School, Primary and Secondary",Commercial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,137.826466
650,P81-P82,Education and Training: Tertiary Education and Other Education,Commercial,Natural Gas,Fossil Fuels,Hot Water Cylinder,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,31.054568
651,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",LPG,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,116.050653
652,"F33, F34, F35, F37, F38, G39, G40, G42, G43",Wholesale and Retail Trade - Non Food,Commercial,LPG,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,575.875127
653,F36,Wholesale Trade - Food,Commercial,LPG,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2021,31/12/2021,3.195641
654,G41,Retail Trade - Food,Commercial,LPG,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2021,31/12/2021,16.588602
655,G41,Retail Trade - Food,Commercial,LPG,Fossil Fuels,Cooking Ovens,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2021,31/12/2021,833.918695
656,H,Accommodation and Food Services,Commercial,LPG,Fossil Fuels,Cooking Ovens,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Cooking",Heating/Cooling,Non-Transport,2021,31/12/2021,275.657819
657,H,Accommodation and Food Services,Commercial,LPG,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,37.468645
658,H,Accommodation and Food Services,Commercial,LPG,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2021,31/12/2021,14.149851
